ANNOTATIONSESSIONID,ANNOTATORID,CHARUID,FIXATIONUID,READERUID,TEXTLANG,TEXTUID
659,354,6621,818123,102,en,8
659,354,6821,818178,102,en,8
659,354,6884,818195,102,en,8
659,354,6720,818147,102,en,8
659,354,6907,818204,102,en,8
659,354,7148,818258,102,en,8
659,354,6770,818161,102,en,8
659,354,6627,818125,102,en,8
659,354,6850,818186,102,en,8
659,354,7229,818268,102,en,8
659,354,7186,818264,102,en,8
659,354,6800,818168,102,en,8
659,354,7111,818246,102,en,8
659,354,6987,818217,102,en,8
659,354,6737,818154,102,en,8
659,354,6820,818173,102,en,8
659,354,6756,818159,102,en,8
659,354,7256,818270,102,en,8
659,354,7165,818241,102,en,8
659,354,7030,818231,102,en,8
659,354,6815,818172,102,en,8
659,354,6809,818171,102,en,8
659,354,7078,818242,102,en,8
659,354,6858,818188,102,en,8
659,354,6989,818199,102,en,8
659,354,6917,818205,102,en,8
659,354,7267,818272,102,en,8
659,354,6897,818202,102,en,8
659,354,6674,818136,102,en,8
659,354,6777,818162,102,en,8
659,354,6993,818219,102,en,8
659,354,6742,818155,102,en,8
659,354,6710,818144,102,en,8
659,354,7104,818250,102,en,8
659,354,6734,818153,102,en,8
659,354,6786,818164,102,en,8
659,354,7057,818236,102,en,8
659,354,7137,818253,102,en,8
659,354,7164,818255,102,en,8
659,354,6660,818133,102,en,8
659,354,6839,818182,102,en,8
659,354,6833,818180,102,en,8
659,354,6731,818149,102,en,8
659,354,7048,818237,102,en,8
659,354,6815,818170,102,en,8
659,354,7092,818244,102,en,8
659,354,7005,818220,102,en,8
659,354,7006,818225,102,en,8
659,354,6804,818169,102,en,8
659,354,6831,818176,102,en,8
659,354,7287,818284,102,en,8
659,354,7053,818238,102,en,8
659,354,6898,818197,102,en,8
659,354,6830,818181,102,en,8
659,354,7207,818266,102,en,8
659,354,7061,818215,102,en,8
659,354,7170,818261,102,en,8
659,354,7302,818290,102,en,8
659,354,6944,818209,102,en,8
659,354,7281,818282,102,en,8
659,354,6731,818124,102,en,8
659,354,6795,818166,102,en,8
659,354,6962,818211,102,en,8
659,354,7095,818243,102,en,8
659,354,6747,818156,102,en,8
659,354,6653,818134,102,en,8
659,354,6641,818129,102,en,8
659,354,7036,818232,102,en,8
659,354,6863,818189,102,en,8
659,354,6702,818140,102,en,8
659,354,6880,818191,102,en,8
659,354,6691,818139,102,en,8
659,354,7021,818229,102,en,8
659,354,6633,818128,102,en,8
659,354,6825,818179,102,en,8
659,354,7012,818228,102,en,8
659,354,6854,818187,102,en,8
659,354,7188,818263,102,en,8
659,354,6745,818157,102,en,8
659,354,7000,818226,102,en,8
659,354,6707,818142,102,en,8
659,354,7122,818247,102,en,8
659,354,6762,818160,102,en,8
659,354,6742,818152,102,en,8
659,354,6899,818200,102,en,8
659,354,7242,818269,102,en,8
659,354,7261,818271,102,en,8
659,354,6789,818165,102,en,8
659,354,6880,818193,102,en,8
659,354,7161,818259,102,en,8
659,354,6683,818137,102,en,8
659,354,6728,818150,102,en,8
659,354,6976,818214,102,en,8
