ANNOTATIONSESSIONID,ANNOTATORID,CHARUID,FIXATIONUID,READERUID,TEXTLANG,TEXTUID
675,359,6683,818137,102,en,8
675,359,6815,818170,102,en,8
675,359,6662,818133,102,en,8
675,359,6724,818148,102,en,8
675,359,6702,818143,102,en,8
675,359,6654,818134,102,en,8
675,359,6731,818124,102,en,8
675,359,6710,818144,102,en,8
675,359,6720,818147,102,en,8
675,359,6700,818141,102,en,8
675,359,6707,818142,102,en,8
675,359,6633,818128,102,en,8
675,359,6782,818163,102,en,8
675,359,6731,818149,102,en,8
675,359,6749,818158,102,en,8
675,359,6714,818145,102,en,8
675,359,6736,818151,102,en,8
675,359,6746,818156,102,en,8
675,359,6820,818173,102,en,8
675,359,6809,818171,102,en,8
675,359,6634,818127,102,en,8
675,359,6702,818140,102,en,8
675,359,6777,818162,102,en,8
675,359,6665,818135,102,en,8
675,359,6742,818152,102,en,8
675,359,6678,818138,102,en,8
675,359,6786,818164,102,en,8
675,359,6621,818123,102,en,8
675,359,6734,818153,102,en,8
675,359,6674,818136,102,en,8
675,359,6641,818129,102,en,8
675,359,6804,818169,102,en,8
675,359,6800,818168,102,en,8
675,359,6818,818174,102,en,8
675,359,6793,818167,102,en,8
675,359,6828,818177,102,en,8
307,153,3740,803327,98,en,4
307,153,2909,802988,98,en,4
307,153,2934,802986,98,en,4
340,153,7209,818126,102,en,8
340,153,6640,818124,102,en,8
340,153,6668,818123,102,en,8
340,153,6858,818174,102,en,8
340,153,6673,818125,102,en,8
336,153,6341,851849,3,en,7
336,153,5726,851687,3,en,7
336,153,5630,851685,3,en,7
336,153,5723,851686,3,en,7
301,177,6782,818163,102,en,8
301,177,6677,818138,102,en,8
301,177,7240,818275,102,en,8
301,177,6762,818160,102,en,8
301,177,7208,818266,102,en,8
301,177,6722,818148,102,en,8
301,177,7103,818245,102,en,8
301,177,6848,818183,102,en,8
301,177,6794,818166,102,en,8
301,177,6909,818203,102,en,8
301,177,7095,818243,102,en,8
301,177,6665,818135,102,en,8
301,177,6826,818179,102,en,8
301,177,7178,818262,102,en,8
301,177,6830,818181,102,en,8
301,177,6872,818190,102,en,8
301,177,7280,818282,102,en,8
301,177,7288,818284,102,en,8
301,177,7005,818220,102,en,8
301,177,6928,818206,102,en,8
301,177,7311,818285,102,en,8
301,177,6846,818184,102,en,8
301,177,7092,818244,102,en,8
301,177,6742,818152,102,en,8
301,177,6674,818136,102,en,8
301,177,7072,818240,102,en,8
301,177,6737,818154,102,en,8
301,177,6882,818201,102,en,8
301,177,6828,818177,102,en,8
301,177,6800,818168,102,en,8
301,177,7199,818265,102,en,8
301,177,7163,818255,102,en,8
301,177,7267,818272,102,en,8
301,177,7304,818286,102,en,8
301,177,7035,818235,102,en,8
301,177,7171,818260,102,en,8
301,177,6706,818142,102,en,8
301,177,6682,818137,102,en,8
301,177,7006,818225,102,en,8
301,177,6756,818159,102,en,8
301,177,6952,818210,102,en,8
301,177,6858,818188,102,en,8
301,177,7158,818256,102,en,8
301,177,7060,818215,102,en,8
301,177,6702,818140,102,en,8
301,177,6850,818186,102,en,8
301,177,6786,818164,102,en,8
301,177,6999,818221,102,en,8
301,177,6710,818144,102,en,8
301,177,7140,818248,102,en,8
301,177,6689,818139,102,en,8
301,177,6746,818156,102,en,8
301,177,7287,818281,102,en,8
301,177,6733,818124,102,en,8
301,177,7258,818277,102,en,8
301,177,6731,818149,102,en,8
301,177,6892,818196,102,en,8
301,177,6898,818197,102,en,8
301,177,7263,818273,102,en,8
301,177,6627,818125,102,en,8
301,177,6809,818171,102,en,8
301,177,7012,818228,102,en,8
301,177,7080,818218,102,en,8
301,177,7134,818249,102,en,8
301,177,7067,818214,102,en,8
301,177,7104,818250,102,en,8
301,177,6621,818123,102,en,8
301,177,7170,818261,102,en,8
301,177,7017,818223,102,en,8
301,177,6818,818174,102,en,8
301,177,7247,818257,102,en,8
301,177,7312,818289,102,en,8
301,177,6777,818162,102,en,8
301,177,6793,818167,102,en,8
301,177,6804,818169,102,en,8
301,177,6863,818189,102,en,8
301,177,7251,818276,102,en,8
301,177,7112,818246,102,en,8
301,177,6833,818180,102,en,8
301,177,6945,818209,102,en,8
301,177,7291,818283,102,en,8
301,177,7122,818247,102,en,8
301,177,6987,818217,102,en,8
301,177,6640,818129,102,en,8
301,177,7261,818271,102,en,8
301,177,7305,818288,102,en,8
301,177,6989,818199,102,en,8
301,177,6744,818157,102,en,8
301,177,6644,818131,102,en,8
301,177,6853,818185,102,en,8
301,177,6736,818151,102,en,8
301,177,6716,818145,102,en,8
301,177,7031,818230,102,en,8
301,177,6653,818134,102,en,8
301,177,6749,818158,102,en,8
301,177,6705,818143,102,en,8
301,177,7255,818270,102,en,8
301,177,6831,818176,102,en,8
301,177,6901,818198,102,en,8
301,177,6696,818141,102,en,8
301,177,7161,818259,102,en,8
301,177,6634,818127,102,en,8
