ANNOTATIONSESSIONID,ANNOTATORID,CHARUID,FIXATIONUID,READERUID,TEXTLANG,TEXTUID
686,363,3004,803038,98,en,4
686,363,3260,803129,98,en,4
686,363,3215,803114,98,en,4
686,363,2959,803054,98,en,4
686,363,3563,803288,98,en,4
686,363,3427,803189,98,en,4
686,363,3677,803310,98,en,4
686,363,3022,803044,98,en,4
686,363,3144,803150,98,en,4
686,363,3581,803247,98,en,4
686,363,3015,803043,98,en,4
686,363,3410,803183,98,en,4
686,363,3716,803323,98,en,4
686,363,3113,803088,98,en,4
686,363,3107,803087,98,en,4
686,363,3253,803126,98,en,4
686,363,3554,803287,98,en,4
686,363,3576,803289,98,en,4
686,363,3521,803237,98,en,4
686,363,3416,803269,98,en,4
686,363,3196,803110,98,en,4
686,363,3405,803209,98,en,4
686,363,3015,803040,98,en,4
686,363,3245,803122,98,en,4
686,363,3232,803170,98,en,4
686,363,3322,803142,98,en,4
686,363,3155,803152,98,en,4
686,363,3552,803243,98,en,4
686,363,3020,803067,98,en,4
686,363,3341,803191,98,en,4
686,363,3328,803255,98,en,4
686,363,3447,803238,98,en,4
686,363,3579,803248,98,en,4
686,363,3707,803317,98,en,4
686,363,3140,803092,98,en,4
686,363,3543,803286,98,en,4
686,363,3534,803284,98,en,4
686,363,3204,803111,98,en,4
686,363,3001,803042,98,en,4
686,363,3180,803157,98,en,4
686,363,3152,803095,98,en,4
686,363,3442,803273,98,en,4
686,363,2949,803055,98,en,4
686,363,3241,803121,98,en,4
686,363,3221,803168,98,en,4
686,363,3186,803158,98,en,4
686,363,3202,803162,98,en,4
686,363,3228,803118,98,en,4
686,363,3581,803290,98,en,4
686,363,3588,803250,98,en,4
686,363,3635,803303,98,en,4
686,363,3083,803081,98,en,4
686,363,3446,803220,98,en,4
686,363,3711,803319,98,en,4
686,363,3255,803128,98,en,4
686,363,3662,803308,98,en,4
686,363,2987,803061,98,en,4
686,363,3275,803134,98,en,4
686,363,3226,803117,98,en,4
686,363,3361,803198,98,en,4
686,363,3484,803228,98,en,4
686,363,3517,803282,98,en,4
686,363,3138,803149,98,en,4
686,363,3409,803253,98,en,4
686,363,3200,803160,98,en,4
686,363,3053,803050,98,en,4
686,363,3424,803184,98,en,4
686,363,3071,803077,98,en,4
686,363,3480,803226,98,en,4
686,363,3473,803225,98,en,4
686,363,2993,803062,98,en,4
686,363,3318,803254,98,en,4
686,363,3451,803274,98,en,4
686,363,3306,803139,98,en,4
686,363,2959,803057,98,en,4
686,363,3248,803124,98,en,4
686,363,3721,803321,98,en,4
686,363,3223,803116,98,en,4
686,363,3544,803241,98,en,4
686,363,3148,803094,98,en,4
686,363,3465,803224,98,en,4
686,363,3007,803066,98,en,4
686,363,3513,803235,98,en,4
686,363,3355,803258,98,en,4
686,363,3195,803165,98,en,4
686,363,3408,803210,98,en,4
686,363,3435,803219,98,en,4
686,363,3425,803216,98,en,4
686,363,3569,803245,98,en,4
686,363,3145,803146,98,en,4
686,363,3359,803260,98,en,4
686,363,3361,803196,98,en,4
686,363,3508,803281,98,en,4
686,363,3102,803085,98,en,4
686,363,3426,803270,98,en,4
686,363,3159,803103,98,en,4
686,363,3486,803263,98,en,4
686,363,3463,803275,98,en,4
686,363,2987,803063,98,en,4
686,363,3228,803171,98,en,4
686,363,3354,803201,98,en,4
686,363,3643,803305,98,en,4
686,363,3002,803041,98,en,4
686,363,3055,803073,98,en,4
686,363,3038,803070,98,en,4
686,363,3162,803102,98,en,4
686,363,3228,803169,98,en,4
686,363,3009,803039,98,en,4
686,363,3665,803311,98,en,4
686,363,3266,803131,98,en,4
686,363,3421,803188,98,en,4
686,363,3529,803285,98,en,4
686,363,3432,803187,98,en,4
686,363,2925,803052,98,en,4
686,363,3355,803202,98,en,4
686,363,3480,803227,98,en,4
686,363,3269,803130,98,en,4
686,363,3031,803047,98,en,4
686,363,3180,803105,98,en,4
686,363,3281,803135,98,en,4
686,363,3295,803137,98,en,4
686,363,3491,803230,98,en,4
686,363,3357,803197,98,en,4
686,363,3498,803280,98,en,4
686,363,3517,803236,98,en,4
686,363,3723,803320,98,en,4
686,363,2873,803036,98,en,4
686,363,3159,803101,98,en,4
686,363,3590,803249,98,en,4
686,363,3239,803120,98,en,4
686,363,3144,803096,98,en,4
686,363,3175,803125,98,en,4
686,363,3055,803051,98,en,4
686,363,3267,803133,98,en,4
686,363,3418,803215,98,en,4
686,363,3598,803293,98,en,4
686,363,3206,803163,98,en,4
686,363,3628,803302,98,en,4
686,363,3224,803167,98,en,4
686,363,3394,803207,98,en,4
686,363,3590,803251,98,en,4
686,363,2954,803056,98,en,4
686,363,3219,803115,98,en,4
686,363,3133,803091,98,en,4
686,363,3272,803179,98,en,4
686,363,3699,803316,98,en,4
686,363,3491,803268,98,en,4
686,363,3143,803093,98,en,4
686,363,3155,803099,98,en,4
686,363,3126,803147,98,en,4
686,363,3554,803242,98,en,4
686,363,3589,803291,98,en,4
686,363,3060,803074,98,en,4
686,363,3183,803106,98,en,4
686,363,3410,803213,98,en,4
686,363,3191,803107,98,en,4
686,363,3339,803257,98,en,4
686,363,3200,803109,98,en,4
686,363,3314,803140,98,en,4
686,363,3301,803138,98,en,4
686,363,3316,803143,98,en,4
686,363,3149,803097,98,en,4
686,363,3450,803221,98,en,4
686,363,3033,803068,98,en,4
686,363,3081,803080,98,en,4
686,363,3369,803199,98,en,4
686,363,3189,803108,98,en,4
686,363,3448,803222,98,en,4
686,363,3537,803240,98,en,4
686,363,3680,803312,98,en,4
686,363,3408,803212,98,en,4
686,363,3429,803186,98,en,4
686,363,3645,803304,98,en,4
686,363,3388,803262,98,en,4
686,363,3397,803208,98,en,4
686,363,3726,803322,98,en,4
686,363,3216,803166,98,en,4
686,363,3657,803307,98,en,4
686,363,3087,803082,98,en,4
686,363,3368,803203,98,en,4
686,363,3647,803306,98,en,4
686,363,3351,803194,98,en,4
686,363,3037,803048,98,en,4
686,363,3173,803104,98,en,4
686,363,3357,803192,98,en,4
686,363,3376,803200,98,en,4
686,363,3460,803276,98,en,4
686,363,3482,803278,98,en,4
686,363,3291,803181,98,en,4
686,363,3094,803083,98,en,4
686,363,3077,803078,98,en,4
686,363,3442,803271,98,en,4
686,363,3492,803231,98,en,4
686,363,3528,803239,98,en,4
686,363,3667,803309,98,en,4
686,363,3589,803294,98,en,4
686,363,3591,803252,98,en,4
686,363,3495,803279,98,en,4
686,363,3215,803164,98,en,4
686,363,3331,803256,98,en,4
686,363,3562,803283,98,en,4
686,363,3403,803211,98,en,4
686,363,3435,803272,98,en,4
686,363,3176,803156,98,en,4
686,363,3357,803195,98,en,4
686,363,3166,803153,98,en,4
686,363,3169,803100,98,en,4
686,363,3625,803301,98,en,4
686,363,3207,803112,98,en,4
686,363,2972,803059,98,en,4
686,363,2988,803065,98,en,4
686,363,3290,803136,98,en,4
686,363,3558,803244,98,en,4
686,363,3104,803084,98,en,4
686,363,3319,803141,98,en,4
686,363,3231,803145,98,en,4
686,363,3042,803069,98,en,4
686,363,2993,803064,98,en,4
686,363,3064,803076,98,en,4
686,363,3153,803098,98,en,4
686,363,3279,803180,98,en,4
686,363,3377,803204,98,en,4
686,363,3216,803113,98,en,4
686,363,3263,803178,98,en,4
686,363,3128,803148,98,en,4
686,363,3261,803132,98,en,4
686,363,3248,803123,98,en,4
686,363,2957,803053,98,en,4
686,363,3328,803144,98,en,4
686,363,3206,803161,98,en,4
686,363,3115,803086,98,en,4
686,363,3441,803218,98,en,4
686,363,2990,803060,98,en,4
686,363,3251,803127,98,en,4
686,363,3125,803090,98,en,4
686,363,3572,803246,98,en,4
686,363,3045,803049,98,en,4
686,363,3150,803151,98,en,4
686,363,3460,803223,98,en,4
686,363,3478,803277,98,en,4
686,363,3233,803119,98,en,4
686,363,2999,803037,98,en,4
686,363,3416,803214,98,en,4
686,363,3382,803206,98,en,4
686,363,3072,803075,98,en,4
686,363,3427,803217,98,en,4
671,358,2883,802995,98,en,4
689,364,5601,851690,3,en,7
689,364,6264,851830,3,en,7
689,364,5661,851776,3,en,7
689,364,5814,851941,3,en,7
689,364,6257,851839,3,en,7
689,364,6334,851858,3,en,7
689,364,5821,851943,3,en,7
689,364,5747,851898,3,en,7
689,364,6401,851856,3,en,7
689,364,5752,851899,3,en,7
689,364,6574,851930,3,en,7
689,364,6594,851932,3,en,7
689,364,5925,851742,3,en,7
689,364,5962,851746,3,en,7
689,364,5660,851728,3,en,7
689,364,5660,851700,3,en,7
689,364,6063,851773,3,en,7
689,364,6404,851862,3,en,7
689,364,6488,851905,3,en,7
689,364,6181,851802,3,en,7
689,364,6352,851859,3,en,7
689,364,5767,851926,3,en,7
689,364,6582,851931,3,en,7
689,364,6265,851840,3,en,7
689,364,5709,851706,3,en,7
689,364,6615,851937,3,en,7
689,364,5648,851698,3,en,7
689,364,6325,851836,3,en,7
689,364,5690,851703,3,en,7
689,364,6318,851835,3,en,7
689,364,6607,851935,3,en,7
689,364,5930,851743,3,en,7
689,364,6247,851816,3,en,7
689,364,5645,851722,3,en,7
689,364,6167,851801,3,en,7
689,364,5624,851694,3,en,7
689,364,6492,851906,3,en,7
689,364,5595,851881,3,en,7
689,364,6468,851902,3,en,7
689,364,5756,851911,3,en,7
689,364,5809,851717,3,en,7
689,364,5941,851748,3,en,7
689,364,6378,851852,3,en,7
689,364,6188,851822,3,en,7
689,364,5668,851794,3,en,7
689,364,5744,851897,3,en,7
689,364,5893,851737,3,en,7
689,364,6237,851815,3,en,7
689,364,5922,851760,3,en,7
689,364,5809,851940,3,en,7
689,364,5732,851893,3,en,7
689,364,6330,851837,3,en,7
689,364,5635,851708,3,en,7
689,364,6617,851938,3,en,7
689,364,6226,851828,3,en,7
689,364,5637,851720,3,en,7
689,364,6046,851770,3,en,7
689,364,5793,851939,3,en,7
689,364,5834,851719,3,en,7
689,364,5849,851730,3,en,7
689,364,5960,851763,3,en,7
689,364,6484,851868,3,en,7
689,364,6495,851907,3,en,7
689,364,5950,851762,3,en,7
689,364,6435,851688,3,en,7
689,364,5997,851753,3,en,7
689,364,6353,851847,3,en,7
689,364,5712,851855,3,en,7
689,364,6079,851768,3,en,7
689,364,6142,851787,3,en,7
689,364,6511,851869,3,en,7
689,364,5727,851709,3,en,7
689,364,5651,851724,3,en,7
689,364,5790,851929,3,en,7
689,364,6018,851767,3,en,7
689,364,6110,851780,3,en,7
689,364,6208,851825,3,en,7
689,364,6370,851851,3,en,7
689,364,6071,851774,3,en,7
689,364,5587,851687,3,en,7
689,364,5915,851741,3,en,7
689,364,6499,851908,3,en,7
689,364,5582,851877,3,en,7
689,364,6125,851782,3,en,7
689,364,5990,851751,3,en,7
689,364,6522,851912,3,en,7
689,364,5679,851795,3,en,7
689,364,5741,851896,3,en,7
689,364,6146,851788,3,en,7
689,364,5673,851701,3,en,7
689,364,5694,851796,3,en,7
689,364,6102,851791,3,en,7
689,364,5607,851884,3,en,7
689,364,6526,851873,3,en,7
689,364,5583,851686,3,en,7
689,364,5901,851738,3,en,7
689,364,5739,851895,3,en,7
689,364,5904,851758,3,en,7
689,364,5860,851732,3,en,7
689,364,6377,851860,3,en,7
689,364,5721,851888,3,en,7
689,364,5630,851696,3,en,7
689,364,5865,851733,3,en,7
689,364,5854,851731,3,en,7
689,364,6101,851778,3,en,7
689,364,6514,851870,3,en,7
689,364,6231,851814,3,en,7
689,364,6175,851819,3,en,7
689,364,6522,851872,3,en,7
689,364,5710,851800,3,en,7
689,364,6088,851790,3,en,7
689,364,6429,851892,3,en,7
689,364,6469,851867,3,en,7
689,364,5979,851749,3,en,7
689,364,6135,851786,3,en,7
689,364,6343,851846,3,en,7
689,364,6605,851934,3,en,7
689,364,6203,851824,3,en,7
689,364,5674,851712,3,en,7
689,364,5771,851928,3,en,7
689,364,5640,851697,3,en,7
689,364,5619,851693,3,en,7
689,364,6147,851789,3,en,7
689,364,6242,851812,3,en,7
689,364,5642,851721,3,en,7
689,364,6613,851936,3,en,7
689,364,5659,851727,3,en,7
689,364,5588,851878,3,en,7
689,364,6221,851827,3,en,7
689,364,6590,851916,3,en,7
689,364,5725,851889,3,en,7
689,364,6039,851769,3,en,7
689,364,5604,851883,3,en,7
689,364,5680,851702,3,en,7
689,364,5626,851695,3,en,7
689,364,6227,851810,3,en,7
689,364,5894,851757,3,en,7
689,364,6140,851805,3,en,7
689,364,6396,851854,3,en,7
689,364,5949,851745,3,en,7
689,364,5993,851752,3,en,7
689,364,6094,851777,3,en,7
689,364,5594,851689,3,en,7
689,364,5579,851876,3,en,7
689,364,6252,851829,3,en,7
689,364,5769,851927,3,en,7
689,364,6507,851909,3,en,7
689,364,5888,851734,3,en,7
689,364,5795,851715,3,en,7
