user_id,analytics,surveyid
9,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704222939,""e"":22.2,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704260770,""e"":37.8,""x"":51,""f"":{""a"":3,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704320769,""e"":60,""x"":51,""f"":{""a"":7,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704380769,""e"":60,""x"":51,""f"":{""a"":11,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704440769,""e"":60,""x"":51,""f"":{""a"":13,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704500771,""e"":60,""x"":51,""f"":{""a"":27,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704560772,""e"":60,""x"":51,""f"":{""a"":25,""u"":0,""f"":4,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704620773,""e"":60,""x"":51,""f"":{""a"":32,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704680778,""e"":60,""x"":51,""f"":{""a"":40,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704740783,""e"":60,""x"":51,""f"":{""a"":36,""u"":3,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704800787,""e"":60,""x"":51,""f"":{""a"":34,""u"":1,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704860794,""e"":60,""x"":51,""f"":{""a"":37,""u"":1,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704920802,""e"":60,""x"":51,""f"":{""a"":40,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704980811,""e"":60,""x"":51,""f"":{""a"":39,""u"":1,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705040819,""e"":60,""x"":51,""f"":{""a"":40,""u"":1,""f"":1,""d"":1}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705045001,""e"":4.2,""x"":51,""f"":{""a"":4,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705045404,""e"":0.4,""x"":51,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705100769,""e"":55.4,""x"":26,""f"":{""a"":21,""u"":0,""f"":4,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705160770,""e"":60,""x"":26,""f"":{""a"":46,""u"":0,""f"":2,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705220773,""e"":60,""x"":26,""f"":{""a"":36,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705280776,""e"":60,""x"":26,""f"":{""a"":20,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705340779,""e"":60,""x"":26,""f"":{""a"":53,""u"":1,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705400786,""e"":60,""x"":26,""f"":{""a"":41,""u"":2,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705421632,""e"":20.8,""x"":26,""f"":{""a"":17,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705421979,""e"":0.3,""x"":26,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705460769,""e"":38.8,""x"":7,""f"":{""a"":15,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705520769,""e"":60,""x"":7,""f"":{""a"":42,""u"":0,""f"":3,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705580774,""e"":60,""x"":7,""f"":{""a"":46,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783705640777,""e"":60,""x"":7,""f"":{""a"":47,""u"":0,""f"":0,""d"":0}}]",1
16,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783707331031,""e"":19,""x"":-2,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783707372071,""e"":41,""x"":40,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783707432071,""e"":60,""x"":40,""f"":{""a"":2,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783707492080,""e"":60,""x"":40,""f"":{""a"":3,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783707552110,""e"":60,""x"":40,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783707612110,""e"":60,""x"":40,""f"":{""a"":5,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783707672134,""e"":60,""x"":40,""f"":{""a"":7,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783707732135,""e"":60,""x"":40,""f"":{""a"":9,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783707792135,""e"":60,""x"":40,""f"":{""a"":2,""u"":0,""f"":2,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783707852135,""e"":60,""x"":40,""f"":{""a"":4,""u"":0,""f"":3,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783707912151,""e"":60,""x"":40,""f"":{""a"":4,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783707972166,""e"":60,""x"":40,""f"":{""a"":3,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708032167,""e"":60,""x"":40,""f"":{""a"":7,""u"":0,""f"":4,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708092181,""e"":60,""x"":40,""f"":{""a"":6,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708152185,""e"":60,""x"":40,""f"":{""a"":9,""u"":1,""f"":4,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708212193,""e"":60,""x"":40,""f"":{""a"":7,""u"":0,""f"":2,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708272201,""e"":60,""x"":40,""f"":{""a"":8,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708332212,""e"":60,""x"":40,""f"":{""a"":8,""u"":0,""f"":2,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708392217,""e"":60,""x"":40,""f"":{""a"":10,""u"":0,""f"":2,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708452218,""e"":60,""x"":40,""f"":{""a"":11,""u"":0,""f"":2,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708512218,""e"":60,""x"":40,""f"":{""a"":12,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708572219,""e"":60,""x"":40,""f"":{""a"":8,""u"":0,""f"":3,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708632220,""e"":60,""x"":40,""f"":{""a"":11,""u"":0,""f"":2,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708650293,""e"":18.1,""x"":40,""f"":{""a"":1,""u"":0,""f"":1,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708692218,""e"":41.9,""x"":25,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783708752217,""e"":60,""x"":25,""f"":{""a"":2,""u"":0,""f"":2,""d"":0}}]",1
43,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704583968,""e"":60,""x"":127,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704643946,""e"":60,""x"":127,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704703942,""e"":60,""x"":127,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}}]",3
54,"[{""d"":{""ur"":0,""c"":9,""z"":0,""dc"":4,""db"":0,""sp"":14,""e"":0},""t"":1783702964966,""e"":60,""x"":175,""f"":{""a"":12,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":35,""z"":0,""dc"":3,""db"":0,""sp"":5,""e"":0},""t"":1783703024965,""e"":60,""x"":175,""f"":{""a"":37,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":23,""z"":0,""dc"":12,""db"":0,""sp"":26,""e"":0},""t"":1783703084962,""e"":60,""x"":175,""f"":{""a"":35,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":46,""z"":0,""dc"":15,""db"":0,""sp"":0,""e"":0},""t"":1783703144968,""e"":60,""x"":175,""f"":{""a"":61,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":9,""z"":0,""dc"":14,""db"":0,""sp"":92,""e"":0},""t"":1783703204972,""e"":60,""x"":175,""f"":{""a"":22,""u"":2,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":27,""db"":0,""sp"":4,""e"":0},""t"":1783703264972,""e"":60,""x"":175,""f"":{""a"":18,""u"":2,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":10,""db"":0,""sp"":4,""e"":0},""t"":1783703324972,""e"":60,""x"":175,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":15,""db"":0,""sp"":0,""e"":0},""t"":1783703384973,""e"":60,""x"":175,""f"":{""a"":5,""u"":2,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783703444972,""e"":60,""x"":175,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783703504972,""e"":60,""x"":175,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":2,""dc"":13,""db"":0,""sp"":0,""e"":0},""t"":1783703564973,""e"":60,""x"":175,""f"":{""a"":12,""u"":1,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783703624970,""e"":60,""x"":175,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783703684988,""e"":60,""x"":175,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":1,""db"":0,""sp"":0,""e"":0},""t"":1783703744993,""e"":60,""x"":175,""f"":{""a"":1,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":33,""z"":3,""dc"":27,""db"":0,""sp"":0,""e"":0},""t"":1783703805005,""e"":60,""x"":175,""f"":{""a"":62,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":41,""z"":0,""dc"":41,""db"":0,""sp"":0,""e"":0},""t"":1783703865005,""e"":60,""x"":175,""f"":{""a"":79,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":11,""z"":0,""dc"":50,""db"":0,""sp"":0,""e"":0},""t"":1783703925011,""e"":60,""x"":175,""f"":{""a"":54,""u"":2,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":1,""z"":0,""dc"":2,""db"":0,""sp"":0,""e"":0},""t"":1783703926768,""e"":1.8,""x"":175,""f"":{""a"":3,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":1,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783703927510,""e"":0.7,""x"":175,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783703985033,""e"":57.5,""x"":175,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":4,""z"":0,""dc"":22,""db"":0,""sp"":0,""e"":0},""t"":1783704044980,""e"":59.9,""x"":140,""f"":{""a"":26,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":7,""db"":35,""sp"":0,""e"":0},""t"":1783704104984,""e"":60,""x"":140,""f"":{""a"":50,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":40,""sp"":0,""e"":0},""t"":1783704164987,""e"":60,""x"":140,""f"":{""a"":52,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":49,""sp"":0,""e"":0},""t"":1783704224994,""e"":60,""x"":140,""f"":{""a"":58,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":38,""sp"":0,""e"":0},""t"":1783704284995,""e"":60,""x"":140,""f"":{""a"":45,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":18,""sp"":0,""e"":0},""t"":1783704329352,""e"":44.4,""x"":140,""f"":{""a"":29,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783704330141,""e"":0.8,""x"":140,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":2,""z"":0,""dc"":0,""db"":3,""sp"":0,""e"":0},""t"":1783704344981,""e"":14.8,""x"":167,""f"":{""a"":7,""u"":0,""f"":0,""d"":0}}]",3
58,"[{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":1,""db"":3,""sp"":20,""e"":0},""t"":1783708865844,""e"":60,""x"":174,""f"":{""a"":11,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":13,""dc"":2,""db"":11,""sp"":47,""e"":0},""t"":1783708925844,""e"":60,""x"":174,""f"":{""a"":13,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":6,""db"":7,""sp"":2,""e"":0},""t"":1783708985857,""e"":60,""x"":174,""f"":{""a"":16,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":4,""z"":0,""dc"":16,""db"":0,""sp"":0,""e"":0},""t"":1783709045861,""e"":60,""x"":174,""f"":{""a"":20,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":8,""z"":0,""dc"":17,""db"":0,""sp"":4,""e"":0},""t"":1783709105864,""e"":60,""x"":174,""f"":{""a"":25,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":15,""db"":0,""sp"":0,""e"":0},""t"":1783709165874,""e"":60,""x"":174,""f"":{""a"":14,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":26,""db"":0,""sp"":0,""e"":0},""t"":1783709225891,""e"":60,""x"":174,""f"":{""a"":25,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":33,""db"":0,""sp"":0,""e"":0},""t"":1783709285888,""e"":60,""x"":174,""f"":{""a"":30,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":33,""db"":0,""sp"":0,""e"":0},""t"":1783709345899,""e"":60,""x"":174,""f"":{""a"":33,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":12,""db"":0,""sp"":0,""e"":0},""t"":1783709405909,""e"":60,""x"":174,""f"":{""a"":12,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":1,""z"":0,""dc"":16,""db"":0,""sp"":0,""e"":0},""t"":1783709465913,""e"":60,""x"":174,""f"":{""a"":17,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":7,""z"":0,""dc"":22,""db"":0,""sp"":0,""e"":0},""t"":1783709525927,""e"":60,""x"":174,""f"":{""a"":29,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":27,""db"":0,""sp"":0,""e"":0},""t"":1783709585937,""e"":60,""x"":174,""f"":{""a"":27,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":45,""db"":0,""sp"":0,""e"":0},""t"":1783709645941,""e"":60,""x"":174,""f"":{""a"":42,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":16,""z"":0,""dc"":30,""db"":0,""sp"":0,""e"":0},""t"":1783709705951,""e"":60,""x"":174,""f"":{""a"":46,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":5,""z"":0,""dc"":20,""db"":0,""sp"":0,""e"":0},""t"":1783709731799,""e"":25.8,""x"":174,""f"":{""a"":25,""u"":1,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":20,""db"":0,""sp"":0,""e"":0},""t"":1783709765928,""e"":34.1,""x"":139,""f"":{""a"":20,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":45,""db"":0,""sp"":4,""e"":0},""t"":1783709825930,""e"":60,""x"":139,""f"":{""a"":42,""u"":1,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":61,""db"":0,""sp"":0,""e"":0},""t"":1783709885943,""e"":60,""x"":139,""f"":{""a"":60,""u"":2,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":47,""db"":0,""sp"":1,""e"":0},""t"":1783709945954,""e"":60,""x"":139,""f"":{""a"":42,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":60,""db"":0,""sp"":0,""e"":0},""t"":1783710005957,""e"":60,""x"":139,""f"":{""a"":51,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":54,""db"":0,""sp"":0,""e"":0},""t"":1783710063425,""e"":57.5,""x"":139,""f"":{""a"":48,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783710063706,""e"":0.3,""x"":139,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":0,""z"":0,""dc"":0,""db"":0,""sp"":0,""e"":0},""t"":1783710065966,""e"":2.3,""x"":139,""f"":{""a"":0,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":109,""z"":0,""dc"":28,""db"":0,""sp"":0,""e"":0},""t"":1783710126002,""e"":60,""x"":137,""f"":{""a"":137,""u"":0,""f"":0,""d"":0}},{""d"":{""ur"":0,""c"":31,""z"":0,""dc"":14,""db"":0,""sp"":0,""e"":0},""t"":1783710144076,""e"":18.1,""x"":137,""f"":{""a"":32,""u"":0,""f"":0,""d"":0}}]",3
