ANNOTATIONSESSIONID,ANNOTATORID,CHARUID,FIXATIONUID,READERUID,TEXTLANG,TEXTUID
45,11,6251,851840,3,en,7
45,11,6601,851941,3,en,7
45,11,6583,851934,3,en,7
45,11,5592,851690,3,en,7
45,11,6000,851783,3,en,7
45,11,5646,851702,3,en,7
45,11,6434,851898,3,en,7
45,11,5678,851714,3,en,7
45,11,6461,851903,3,en,7
45,11,5651,851703,3,en,7
45,11,5665,851708,3,en,7
45,11,6428,851897,3,en,7
45,11,6329,851864,3,en,7
45,11,6368,851881,3,en,7
45,11,6505,851914,3,en,7
45,11,5802,851742,3,en,7
45,11,6488,851909,3,en,7
45,11,6358,851876,3,en,7
45,11,6270,851845,3,en,7
45,11,6580,851933,3,en,7
45,11,5978,851778,3,en,7
45,11,5848,851751,3,en,7
45,11,6150,851814,3,en,7
45,11,5866,851735,3,en,7
45,11,6608,851944,3,en,7
45,11,5992,851781,3,en,7
45,11,5864,851734,3,en,7
45,11,5661,851706,3,en,7
45,11,6090,851800,3,en,7
45,11,6002,851784,3,en,7
45,11,6412,851893,3,en,7
45,11,5670,851710,3,en,7
45,11,6277,851847,3,en,7
45,11,5923,851767,3,en,7
45,11,5691,851717,3,en,7
45,11,6243,851838,3,en,7
45,11,6565,851929,3,en,7
45,11,6293,851852,3,en,7
45,11,6594,851939,3,en,7
45,11,6301,851855,3,en,7
45,11,5829,851747,3,en,7
45,11,6613,851884,3,en,7
45,11,6533,851921,3,en,7
45,11,6097,851801,3,en,7
45,11,6318,851859,3,en,7
45,11,5819,851745,3,en,7
45,11,5990,851780,3,en,7
45,11,5711,851722,3,en,7
45,11,6548,851924,3,en,7
45,11,5703,851720,3,en,7
45,11,6527,851920,3,en,7
45,11,6420,851896,3,en,7
45,11,5725,851725,3,en,7
45,11,5807,851743,3,en,7
45,11,6164,851819,3,en,7
45,11,5596,851691,3,en,7
45,11,6209,851828,3,en,7
45,11,5795,851740,3,en,7
45,11,6193,851824,3,en,7
45,11,5715,851723,3,en,7
45,11,5873,851757,3,en,7
45,11,5748,851731,3,en,7
45,11,5814,851744,3,en,7
45,11,5583,851686,3,en,7
45,11,5613,851695,3,en,7
45,11,6161,851818,3,en,7
45,11,6618,851919,3,en,7
45,11,5700,851719,3,en,7
45,11,6346,851871,3,en,7
45,11,5737,851728,3,en,7
45,11,5955,851772,3,en,7
45,11,6273,851846,3,en,7
45,11,6377,851887,3,en,7
45,11,6485,851908,3,en,7
45,11,6057,851795,3,en,7
45,11,6224,851832,3,en,7
45,11,6352,851874,3,en,7
45,11,6213,851829,3,en,7
45,11,6364,851880,3,en,7
45,11,6110,851802,3,en,7
45,11,5608,851694,3,en,7
45,11,5753,851732,3,en,7
45,11,5859,851733,3,en,7
45,11,6032,851790,3,en,7
45,11,6334,851867,3,en,7
45,11,5835,851748,3,en,7
45,11,6230,851834,3,en,7
45,11,6603,851943,3,en,7
45,11,6147,851813,3,en,7
45,11,6479,851907,3,en,7
45,11,5864,851755,3,en,7
45,11,5734,851727,3,en,7
45,11,6417,851895,3,en,7
45,11,6491,851910,3,en,7
45,11,6349,851872,3,en,7
45,11,6228,851833,3,en,7
45,11,5769,851736,3,en,7
45,11,6453,851901,3,en,7
45,11,6440,851899,3,en,7
45,11,5920,851766,3,en,7
45,11,5995,851782,3,en,7
45,11,6554,851926,3,en,7
45,11,6069,851794,3,en,7
45,11,5902,851762,3,en,7
45,11,6373,851883,3,en,7
45,11,5853,851752,3,en,7
45,11,6286,851850,3,en,7
45,11,5799,851741,3,en,7
45,11,6474,851906,3,en,7
45,11,6189,851823,3,en,7
45,11,6544,851923,3,en,7
45,11,6382,851889,3,en,7
45,11,6168,851820,3,en,7
45,11,6016,851787,3,en,7
45,11,6282,851849,3,en,7
45,11,6350,851873,3,en,7
45,11,6127,851808,3,en,7
45,11,6265,851844,3,en,7
45,11,6615,851885,3,en,7
45,11,5587,851688,3,en,7
45,11,6361,851878,3,en,7
45,11,6315,851858,3,en,7
45,11,5846,851750,3,en,7
45,11,5784,851738,3,en,7
45,11,6305,851856,3,en,7
45,11,6137,851811,3,en,7
45,11,5960,851773,3,en,7
45,11,6309,851857,3,en,7
45,11,6019,851788,3,en,7
45,11,5585,851687,3,en,7
45,11,6207,851827,3,en,7
45,11,6443,851900,3,en,7
45,11,6246,851815,3,en,7
45,11,6064,851793,3,en,7
45,11,6130,851809,3,en,7
45,11,5788,851739,3,en,7
45,11,6344,851870,3,en,7
45,11,6339,851868,3,en,7
45,11,6360,851877,3,en,7
45,11,6296,851853,3,en,7
45,11,6541,851922,3,en,7
45,11,6233,851835,3,en,7
45,11,6414,851894,3,en,7
45,11,6404,851891,3,en,7
45,11,6586,851937,3,en,7
45,11,6115,851804,3,en,7
45,11,6332,851866,3,en,7
45,11,6158,851817,3,en,7
45,11,6496,851911,3,en,7
45,11,6589,851938,3,en,7
45,11,6125,851807,3,en,7
45,11,6391,851888,3,en,7
45,11,5617,851696,3,en,7
45,11,6262,851843,3,en,7
45,11,6331,851865,3,en,7
45,11,6197,851825,3,en,7
45,11,6133,851810,3,en,7
45,11,5898,851761,3,en,7
45,11,6279,851848,3,en,7
45,11,5840,851749,3,en,7
45,11,5719,851724,3,en,7
45,11,5745,851730,3,en,7
45,11,5906,851763,3,en,7
45,11,6073,851796,3,en,7
45,11,6466,851904,3,en,7
45,11,5683,851715,3,en,7
45,11,6142,851812,3,en,7
45,11,5916,851765,3,en,7
45,11,6176,851821,3,en,7
45,11,6202,851826,3,en,7
45,11,5822,851746,3,en,7
45,11,6470,851905,3,en,7
45,11,6219,851830,3,en,7
45,11,5927,851768,3,en,7
45,11,6513,851916,3,en,7
45,11,5589,851689,3,en,7
45,11,5871,851756,3,en,7
45,11,5656,851704,3,en,7
45,11,5880,851758,3,en,7
45,11,6009,851785,3,en,7
45,11,6246,851839,3,en,7
45,11,5976,851777,3,en,7
45,11,5910,851764,3,en,7
45,11,5947,851771,3,en,7
45,11,6113,851803,3,en,7
45,11,6362,851879,3,en,7
45,11,6151,851816,3,en,7
45,11,5729,851726,3,en,7
45,11,5673,851712,3,en,7
45,11,6053,851791,3,en,7
45,11,6057,851792,3,en,7
45,11,6550,851925,3,en,7
45,11,5971,851776,3,en,7
45,11,5642,851701,3,en,7
45,11,5934,851769,3,en,7
45,11,6605,851942,3,en,7
45,11,6124,851806,3,en,7
45,11,5622,851697,3,en,7
