ANNOTATIONSESSIONID,ANNOTATORID,CHARUID,FIXATIONUID,READERUID,TEXTLANG,TEXTUID
54,18,6909,818203,102,en,8
54,18,6644,818131,102,en,8
54,18,6674,818136,102,en,8
54,18,6818,818174,102,en,8
54,18,6691,818139,102,en,8
54,18,6726,818146,102,en,8
54,18,7115,818251,102,en,8
54,18,6633,818128,102,en,8
54,18,7275,818280,102,en,8
54,18,7015,818227,102,en,8
54,18,6850,818186,102,en,8
54,18,6640,818129,102,en,8
54,18,6916,818205,102,en,8
54,18,6898,818197,102,en,8
54,18,6825,818179,102,en,8
54,18,6952,818210,102,en,8
54,18,6822,818175,102,en,8
54,18,6966,818213,102,en,8
54,18,7057,818236,102,en,8
54,18,7261,818271,102,en,8
54,18,6748,818158,102,en,8
54,18,6882,818201,102,en,8
54,18,6846,818184,102,en,8
54,18,7000,818226,102,en,8
54,18,6777,818162,102,en,8
54,18,6737,818151,102,en,8
54,18,7161,818259,102,en,8
54,18,7137,818253,102,en,8
54,18,7186,818264,102,en,8
54,18,7287,818281,102,en,8
54,18,6770,818161,102,en,8
54,18,6831,818176,102,en,8
54,18,6999,818221,102,en,8
54,18,7148,818258,102,en,8
54,18,7173,818260,102,en,8
54,18,6707,818142,102,en,8
54,18,7303,818286,102,en,8
54,18,7153,818257,102,en,8
54,18,6828,818177,102,en,8
54,18,7206,818266,102,en,8
54,18,6745,818157,102,en,8
54,18,7031,818230,102,en,8
54,18,7122,818247,102,en,8
54,18,7035,818233,102,en,8
54,18,6927,818206,102,en,8
54,18,6980,818216,102,en,8
54,18,6902,818198,102,en,8
54,18,6665,818135,102,en,8
54,18,6742,818152,102,en,8
54,18,7140,818248,102,en,8
54,18,7135,818249,102,en,8
54,18,6804,818169,102,en,8
54,18,6900,818200,102,en,8
54,18,6820,818173,102,en,8
54,18,6678,818138,102,en,8
54,18,7123,818252,102,en,8
54,18,6636,818130,102,en,8
54,18,6924,818207,102,en,8
54,18,7313,818287,102,en,8
54,18,6702,818140,102,en,8
54,18,7021,818229,102,en,8
54,18,7053,818238,102,en,8
54,18,7179,818262,102,en,8
54,18,6944,818209,102,en,8
54,18,6724,818148,102,en,8
54,18,6762,818160,102,en,8
54,18,7103,818245,102,en,8
54,18,7250,818276,102,en,8
54,18,7060,818215,102,en,8
54,18,7035,818235,102,en,8
54,18,7149,818254,102,en,8
54,18,6858,818188,102,en,8
54,18,6662,818133,102,en,8
54,18,7006,818225,102,en,8
54,18,6732,818124,102,en,8
54,18,7105,818250,102,en,8
54,18,7048,818237,102,en,8
54,18,7229,818268,102,en,8
54,18,6624,818126,102,en,8
54,18,7092,818244,102,en,8
54,18,7198,818265,102,en,8
54,18,6987,818217,102,en,8
54,18,7261,818273,102,en,8
54,18,6634,818127,102,en,8
54,18,6893,818196,102,en,8
54,18,6653,818134,102,en,8
54,18,6714,818145,102,en,8
54,18,7159,818256,102,en,8
54,18,7229,818274,102,en,8
54,18,6849,818183,102,en,8
54,18,7241,818275,102,en,8
54,18,7059,818239,102,en,8
54,18,6994,818219,102,en,8
54,18,7048,818234,102,en,8
54,18,6683,818137,102,en,8
54,18,7304,818288,102,en,8
54,18,6833,818180,102,en,8
54,18,7216,818267,102,en,8
54,18,6720,818147,102,en,8
54,18,6743,818155,102,en,8
54,18,7017,818223,102,en,8
54,18,6658,818132,102,en,8
54,18,6863,818189,102,en,8
54,18,7267,818272,102,en,8
54,18,7242,818269,102,en,8
54,18,7281,818282,102,en,8
54,18,7078,818242,102,en,8
54,18,7312,818291,102,en,8
54,18,6989,818199,102,en,8
54,18,6897,818202,102,en,8
54,18,7036,818232,102,en,8
54,18,6932,818208,102,en,8
54,18,6710,818144,102,en,8
49,13,2874,802995,98,en,4
49,13,3196,803165,98,en,4
49,13,3280,803135,98,en,4
49,13,2873,802988,98,en,4
49,13,3206,803163,98,en,4
49,13,3203,803110,98,en,4
49,13,3200,803160,98,en,4
49,13,3199,803109,98,en,4
52,13,5644,851701,3,en,7
52,13,6511,851915,3,en,7
52,13,6430,851893,3,en,7
52,13,6181,851804,3,en,7
52,13,6453,851901,3,en,7
52,13,6243,851842,3,en,7
52,13,6384,851858,3,en,7
52,13,6341,851848,3,en,7
52,13,6134,851791,3,en,7
52,13,5993,851783,3,en,7
52,13,6267,851822,3,en,7
52,13,6058,851797,3,en,7
52,13,6318,851834,3,en,7
52,13,6545,851923,3,en,7
52,13,6276,851824,3,en,7
52,13,5692,851716,3,en,7
52,13,6595,851939,3,en,7
52,13,6144,851795,3,en,7
52,13,5671,851733,3,en,7
52,13,5989,851761,3,en,7
52,13,6445,851899,3,en,7
52,13,6163,851800,3,en,7
52,13,6436,851877,3,en,7
52,13,5578,851685,3,en,7
52,13,6324,851833,3,en,7
52,13,5761,851734,3,en,7
52,13,5681,851714,3,en,7
52,13,6251,851846,3,en,7
52,13,5776,851736,3,en,7
52,13,6573,851931,3,en,7
52,13,6402,851861,3,en,7
52,13,5904,851744,3,en,7
52,13,5914,851745,3,en,7
52,13,6158,851798,3,en,7
52,13,6349,851852,3,en,7
52,13,6447,851879,3,en,7
52,13,5741,851729,3,en,7
52,13,6452,851880,3,en,7
52,13,5729,851726,3,en,7
52,13,5888,851741,3,en,7
52,13,6263,851821,3,en,7
52,13,6524,851919,3,en,7
52,13,5997,851764,3,en,7
52,13,5710,851720,3,en,7
52,13,6373,851856,3,en,7
52,13,6472,851905,3,en,7
52,13,6280,851825,3,en,7
52,13,6028,851769,3,en,7
52,13,6438,851898,3,en,7
52,13,5997,851784,3,en,7
52,13,6376,851884,3,en,7
52,13,5601,851691,3,en,7
52,13,6604,851941,3,en,7
52,13,6040,851771,3,en,7
52,13,6335,851845,3,en,7
52,13,5703,851718,3,en,7
52,13,6403,851863,3,en,7
52,13,6534,851921,3,en,7
52,13,6560,851928,3,en,7
52,13,6318,851832,3,en,7
52,13,6590,851936,3,en,7
52,13,6443,851878,3,en,7
52,13,6344,851847,3,en,7
52,13,6292,851827,3,en,7
52,13,6006,851765,3,en,7
52,13,5677,851713,3,en,7
52,13,6554,851925,3,en,7
52,13,6477,851906,3,en,7
52,13,6186,851805,3,en,7
52,13,6551,851924,3,en,7
52,13,5984,851780,3,en,7
52,13,6425,851894,3,en,7
52,13,5751,851732,3,en,7
52,13,6435,851875,3,en,7
52,13,5898,851743,3,en,7
52,13,5972,851757,3,en,7
52,13,6025,851768,3,en,7
52,13,6067,851796,3,en,7
52,13,6381,851857,3,en,7
52,13,6350,851850,3,en,7
52,13,6414,851892,3,en,7
52,13,6235,851815,3,en,7
52,13,6504,851912,3,en,7
52,13,6490,851908,3,en,7
52,13,5768,851735,3,en,7
52,13,6239,851816,3,en,7
52,13,6582,851935,3,en,7
52,13,5689,851715,3,en,7
52,13,6587,851937,3,en,7
52,13,5780,851739,3,en,7
52,13,5773,851737,3,en,7
52,13,5834,851748,3,en,7
52,13,6577,851932,3,en,7
52,13,6025,851789,3,en,7
52,13,6407,851864,3,en,7
52,13,6038,851770,3,en,7
52,13,6167,851801,3,en,7
52,13,6257,851843,3,en,7
52,13,6296,851828,3,en,7
52,13,5672,851712,3,en,7
52,13,5946,851752,3,en,7
52,13,5821,851746,3,en,7
52,13,6463,851902,3,en,7
52,13,5944,851751,3,en,7
52,13,6190,851806,3,en,7
52,13,6500,851913,3,en,7
52,13,5883,851740,3,en,7
52,13,6456,851881,3,en,7
52,13,5666,851709,3,en,7
52,13,5582,851688,3,en,7
52,13,6313,851831,3,en,7
52,13,6574,851930,3,en,7
52,13,6328,851838,3,en,7
52,13,5991,851760,3,en,7
52,13,5869,851738,3,en,7
52,13,5654,851704,3,en,7
52,13,5674,851686,3,en,7
52,13,5870,851756,3,en,7
52,13,6396,851889,3,en,7
52,13,6019,851767,3,en,7
52,13,6170,851802,3,en,7
52,13,6338,851849,3,en,7
52,13,6323,851839,3,en,7
52,13,6554,851927,3,en,7
52,13,6144,851793,3,en,7
52,13,6248,851818,3,en,7
52,13,6329,851840,3,en,7
52,13,6581,851933,3,en,7
52,13,6224,851813,3,en,7
52,13,6221,851812,3,en,7
52,13,5990,851782,3,en,7
52,13,6318,851836,3,en,7
52,13,6253,851817,3,en,7
52,13,6435,851895,3,en,7
52,13,6567,851929,3,en,7
52,13,5994,851763,3,en,7
52,13,6259,851820,3,en,7
52,13,6389,851859,3,en,7
52,13,6386,851887,3,en,7
52,13,6496,851910,3,en,7
52,13,6463,851883,3,en,7
52,13,6412,851865,3,en,7
52,13,5982,851759,3,en,7
52,13,6493,851909,3,en,7
52,13,5892,851742,3,en,7
52,13,5714,851721,3,en,7
52,13,5747,851731,3,en,7
52,13,6284,851826,3,en,7
52,13,6270,851823,3,en,7
52,13,6370,851854,3,en,7
52,13,5660,851705,3,en,7
52,13,5723,851724,3,en,7
52,13,6421,851869,3,en,7
52,13,6497,851911,3,en,7
52,13,5650,851703,3,en,7
52,13,5830,851727,3,en,7
52,13,6005,851786,3,en,7
52,13,6617,851942,3,en,7
52,13,5856,851753,3,en,7
52,13,6207,851809,3,en,7
52,13,5589,851689,3,en,7
52,13,6309,851830,3,en,7
52,13,5981,851781,3,en,7
52,13,5693,851717,3,en,7
52,13,5830,851728,3,en,7
52,13,6400,851862,3,en,7
52,13,6529,851920,3,en,7
52,13,6072,851778,3,en,7
52,13,6403,851890,3,en,7
52,13,6614,851944,3,en,7
52,13,6049,851774,3,en,7
52,13,6201,851808,3,en,7
52,13,6193,851807,3,en,7
52,13,5938,851750,3,en,7
52,13,6140,851794,3,en,7
52,13,6390,851888,3,en,7
52,13,5670,851710,3,en,7
52,13,5962,851776,3,en,7
52,13,6367,851855,3,en,7
52,13,6460,851903,3,en,7
52,13,6030,851790,3,en,7
52,13,6354,851851,3,en,7
52,13,6416,851868,3,en,7
52,13,6486,851907,3,en,7
52,13,5838,851749,3,en,7
52,13,5875,851755,3,en,7
52,13,6361,851853,3,en,7
52,13,5744,851730,3,en,7
52,13,6373,851886,3,en,7
52,13,5975,851758,3,en,7
52,13,6139,851792,3,en,7
52,13,6419,851866,3,en,7
52,13,6538,851922,3,en,7
52,13,5978,851779,3,en,7
52,13,6550,851926,3,en,7
52,13,6176,851803,3,en,7
52,13,5675,851711,3,en,7
52,13,6014,851766,3,en,7
52,13,6212,851810,3,en,7
52,13,6600,851940,3,en,7
52,13,5826,851747,3,en,7
52,13,6020,851788,3,en,7
52,13,6430,851897,3,en,7
52,13,5803,851719,3,en,7
52,13,6255,851819,3,en,7
52,13,5634,851699,3,en,7
52,13,5997,851762,3,en,7
52,13,6448,851900,3,en,7
52,13,6432,851896,3,en,7
52,13,6584,851934,3,en,7
52,13,6048,851772,3,en,7
52,13,6009,851785,3,en,7
52,13,5813,851723,3,en,7
52,13,6515,851916,3,en,7
52,13,6506,851914,3,en,7
52,13,6380,851885,3,en,7
52,13,6519,851918,3,en,7
52,13,6460,851882,3,en,7
52,13,6231,851814,3,en,7
52,13,6470,851904,3,en,7
52,13,6414,851867,3,en,7
52,13,6408,851891,3,en,7
52,13,6523,851917,3,en,7
52,13,6240,851841,3,en,7
52,13,5615,851694,3,en,7
52,13,5822,851725,3,en,7
52,13,6041,851773,3,en,7
52,13,6314,851835,3,en,7
52,13,5627,851698,3,en,7
52,13,6305,851829,3,en,7
52,13,6610,851943,3,en,7
52,13,5594,851690,3,en,7
52,13,6590,851938,3,en,7
52,13,5737,851702,3,en,7
52,13,6321,851837,3,en,7
52,13,6432,851876,3,en,7
52,13,6249,851844,3,en,7
52,13,6015,851787,3,en,7
52,13,6215,851811,3,en,7
52,13,6396,851860,3,en,7
52,13,5640,851700,3,en,7
52,13,5717,851722,3,en,7
59,8,6201,851808,3,en,7
59,8,6006,851765,3,en,7
59,8,5945,851752,3,en,7
59,8,5668,851709,3,en,7
59,8,5991,851760,3,en,7
59,8,5670,851711,3,en,7
59,8,6500,851913,3,en,7
59,8,5982,851759,3,en,7
59,8,6496,851910,3,en,7
59,8,6350,851850,3,en,7
59,8,6344,851876,3,en,7
59,8,6430,851897,3,en,7
59,8,5975,851758,3,en,7
59,8,5904,851744,3,en,7
59,8,6202,851828,3,en,7
59,8,5964,851776,3,en,7
59,8,6438,851898,3,en,7
59,8,6610,851943,3,en,7
59,8,5688,851715,3,en,7
59,8,6321,851837,3,en,7
59,8,6615,851942,3,en,7
59,8,5997,851764,3,en,7
59,8,6407,851864,3,en,7
59,8,6505,851914,3,en,7
59,8,6041,851773,3,en,7
59,8,6170,851802,3,en,7
59,8,6360,851881,3,en,7
59,8,5850,851732,3,en,7
59,8,6190,851806,3,en,7
59,8,6560,851928,3,en,7
59,8,6445,851899,3,en,7
59,8,6402,851861,3,en,7
59,8,6372,851883,3,en,7
59,8,6028,851769,3,en,7
59,8,6173,851822,3,en,7
59,8,6040,851771,3,en,7
59,8,6340,851846,3,en,7
59,8,5971,851777,3,en,7
59,8,6109,851787,3,en,7
59,8,6498,851911,3,en,7
59,8,6140,851794,3,en,7
59,8,6115,851788,3,en,7
59,8,5823,851725,3,en,7
59,8,6239,851816,3,en,7
59,8,5968,851775,3,en,7
59,8,5888,851741,3,en,7
59,8,6235,851815,3,en,7
59,8,6221,851835,3,en,7
59,8,5795,851717,3,en,7
59,8,5601,851691,3,en,7
59,8,5627,851698,3,en,7
59,8,6067,851796,3,en,7
59,8,6448,851900,3,en,7
59,8,5673,851687,3,en,7
59,8,6582,851935,3,en,7
59,8,6337,851849,3,en,7
